Probe,SMILES,pKd
BAOP-15,F[B-]([N+]1=C(/C=C/C2=CC=C(N(C)CCO)C=C2)C=C(C3=CC=CC=C3)C1=C4)(F)N5C4=CC=C5,7.08
PP-BTA-5,CN(C)C1=CC=C2C(SC(/C=C/C=C/C=C/C=C(C#N)/C#N)=N2)=C1,7.24
5a,CN1C(C=CC(/C=C2C(N(CC(O)=O)C(S/2)=S)=O)=C3)=C3SC4=CC=CC=C14,6.83
PT-1,CC(OC(/C=C/C1=CC=C(N(C)C)S1)=C/2)=CC2=C(C#N)\C#N,7.27
MC-N-4,CC(C1=CC=CC=C1N/2C)(C)C2=C/C=C3C(NCCC)=C(CCC/3)/C=C(C#N)\C#N,7.16
AACA-5,O=C(OCCOCCOCCOC)/C(C#N)=C/C1=CC=C(C2=CC(C=CC(N3CCCCC3)=C4)=C4C=C2)S1,6.28
Q18,CN(C)C1=CC=C(/C=C/C2=[N+](C)C3=C(C=C(Cl)C=C3)S2)C=C1,7.67
PyrPeg,CNC1=CC=C2C(OC(C3=CN=C(C4=CC5=C(C=C(OCCOCCOC)C=C5)O4)C=N3)=C2)=C1,7.2
ODPY,CN(CCO)C1=CC=C(C#CC2=CC=C(/C=C(C#N)/C(OCC)=O)O2)C=C1,5.26
QNO-AD-2,CN(C(C=C1)=CC=C1C(O2)=CC=C2/C=C/C3=NC4=CC=CC=C4N(C3=O)CCC)C,7.77
QNN-1b,CN(C)C(C=C1)=CC=C1/C=C/C2=CN=C(C=CC=C3)C3=N2,7.06
4c,COC1=C(O)C=CC(/C=C/C(/C=C(/C=C/C2=CC=C(Br)C=C2)O)=O)=C1,5.95
PTO-41,F[B-]1(F)OC(/C=C/C=C/C2=CC=C(N(CCO)C)C=C2)=C(C3=CC=C(CC)C=C3)C(C4CC4)=[O+]1,6.9
CQ,C[N+]1=C(/C=C/C2=CC3=CC=C(C=C3OC2=O)N(CC)CC)C=CC4=C1C=CC=C4,7.07
MZ-3,CC1(C)C(/C=C/C2=CC=C(C3=CC=C(N(C)C)C=C3)S2)=[N+](CCO)C4=CC=CC=C14,6.26
8d,CN(C)C1=CC=C(/C=C/C2=[O+][B-](F)(F)OC(/C=C/C3=CC=C(B(O)O)C=C3)=C2)C=C1,6.85
4,C1(N(C2=CC=CC=C2)C3=CC=CC=C3)=CC=C(/C=C/C4=CC=C(OCCN5N=CC=C5)C=C4)C=C1,5.55
DANIR 2c,CN(C)C1=CC=C(/C=C/C=C/C=C(C#N)\C#N)C=C1,7.57
BAOP-3,F[B-]([N+]1=C(/C=C/C=C/C=C/C2=CC=C(N(C)C)C=C2)C=C(C)C1=C3)(F)N4C3=CC=C4,6.97
FDDNP,CN(CCF)C1=CC=C2C(C=CC(/C(C)=C(C#N)\C#N)=C2)=C1,5.54
AN-SP,O=C(OCCN([C@]12OC3=CC=C([N+]([O-])=O)C=C3C=C1)C4=CC=CC=C4C2(C)C)/C(C#N)=C/C5=CC6=CC=C(N7CCCCC7)C=C6C=C5,5.77
AH-2,CN(C)C1=CC=C2C(C=CC(C3=[N+](C)C(C=CC=C4)=C4S3)=C2)=C1,6.64
CX1,CN(C)C1=CC=C(/C=C/C=C2N=C(/C=C\C3=CC=C(O)C(OC)=C3)N(C)C\2=O)C=C1,6.64
12a,CN(C)C1=CC=C2C(C=CC(/C=C(C#N)/C(OCCOCCO)=O)=C2)=C1,6.82
